Back,"शर्त लगाना"
"Out of stock","आउट ऑफ़ स्टॉक"
Change,"छोटे सिक्‍के"
"Compatible file extensions to upload","अपलोड करने के लिए संगत फ़ाइल एक्सटेंशन"
"Maximum image width","अधिकतम छवि चौड़ाई"
"Maximum image height","अधिकतम छवि ऊंचाई"
"less info","कम जानकारी"
"more info","और जानकारी"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","लाइसेंस छवि एक विशिष्ट उपयोग के लिए एक छवि के ""किराए पर लेने"" का एक प्रकार है; उदाहरणों में एक पुस्तक के कवर के लिए एक छवि को लाइसेंस देना, एक पत्रिका लेख के लिए एक चित्रण, या एक इंजीलवादी हैंडबिल में एक छवि का उपयोग शामिल है।"
"License Image","लाइसेंस छवि"
"Download - price based on use.","डाउनलोड - उपयोग के आधार पर कीमत।"
Close,"बंद करना"
"License Pricing Calculator","लाइसेंस मूल्य निर्धारण कैलकुलेटर"
"Select options from the drop down menu to calculate a price to use this image.","इस छवि का उपयोग करने के लिए मूल्य की गणना करने के लिए ड्रॉप डाउन मेनू से विकल्प चुनें।"
"Choose Category","श्रेणी चुनें"
"Choose a category to see the specific usages available.","उपलब्ध विशिष्ट उपयोगों को देखने के लिए एक श्रेणी चुनें।"
"Previous Usage","पिछला उपयोग"
"Choose a previous calculation from your order history.","अपने ऑर्डर इतिहास से पिछली गणना चुनें।"
"Specific Usage","विशिष्ट उपयोग"
"Choose the usage which best describes how you intend to use the image.","वह उपयोग चुनें जो सबसे अच्छा वर्णन करता है कि आप छवि का उपयोग कैसे करना चाहते हैं।"
"Go to <a href=""%1"">My Downloadable Products</a>","<a href=""%1"">मेरे डाउनलोड करने योग्य उत्पाद पर जाएँ</a>"
"Incl. Tax","कर सहित"
"Total Incl. Tax","कुल कर सहित"
"Excl. Tax","कर सहित"
Total,कुल
"Downloadable Products","डाउनलोड करने योग्य उत्पाद"
"Order #","आदेश #"
Date,खजूर
Status,ओहदा
"Remaining Downloads","शेष डाउनलोड"
"View Order","क्रम देखें"
"Start Download","डाउनलोड शुरू करें"
"You have not purchased any downloadable products yet.","आपने अभी तक कोई डाउनलोड करने योग्य उत्पाद नहीं खरीदा है।"
SKU,एसकेयू
download,डाउनलोड
"Gift Message","उपहार संदेश"
From:,से:
To:,तक:
Message:,संदेश:
"Product Name","प्रोडक्ट का नाम"
Qty,मात्रा
Subtotal,उपयोग
"Discount Amount","छूट की राशि"
"Row Total","पंक्ति कुल"
"Qty Invoiced","मात्रा चालान"
Ordered,आदेश
Shipped,"भेज दिया"
Canceled,रद्द
Refunded,वापस
"Add Bulk Products","बल्क उत्पाद जोड़ें"
Calculator,कैलकुलेटर
"DevStone Extensions","देवस्टोन एक्सटेंशन"
"Usage Calculator","उपयोग कैलकुलेटर"
General,सामान्य
"Custom Category","कस्टम श्रेणी"
"select the custom category","कस्टम श्रेणी का चयन करें"
"This field is going to be used for Custom License","इस फ़ील्ड का उपयोग कस्टम लाइसेंस के लिए किया जा रहा है"
"Category Form","श्रेणी प्रपत्र"
"Main Information","मुख्य जानकारी"
"Add New Category","नई श्रेणी जोड़ें"
"Delete items","आइटम हटाएँ"
"Are you sure you wan't to delete selected items?","क्या आप वाकई चयनित आइटम्स को हटाना नहीं चाहते हैं?"
Terms,लिहाज
"Size Form","आकार प्रपत्र"
Active,सक्रिय
Inactive,निष्क्रिय
"Add New Size","नया आकार जोड़ें"
Code,कोड
"Max Width","अधिकतम चौड़ाई"
"Max Height","अधिकतम ऊंचाई"
"Usage Form","उपयोग प्रपत्र"
"Can be free","मुक्त हो सकता है"
No,नहीं
Yes,हाँ
"Add future customer email","भावी ग्राहक ईमेल जोड़ें"
"Add Email","ईमेल जोड़ें"
"Add New Usage","नया उपयोग जोड़ें"
