Back,Kembali
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Fail '%1' yang anda muat naik adalah lebih besar daripada %2 megabait yang dibenarkan oleh pelayan kami."
"The file '%1' is empty. Please choose another one","Fail '%1' kosong. Sila pilih yang lain"
"The file '%1' is invalid. Please choose another one","Fail '%1' tidak sah. Sila pilih yang lain"
"File '%1' is not an image.","Fail '%1' bukan imej."
"Validation failed. Required options were not filled or the file was not uploaded.","Pengesahan gagal. Pilihan yang diperlukan tidak diisi atau fail tidak dimuat naik."
"The file you uploaded is larger than %1 Megabytes allowed by server","Fail yang anda muat naik lebih besar daripada%1 Megabait yang dibenarkan oleh pelayan"
"Option required.","Pilihan diperlukan."
"The file is empty. Please choose another one","Fail itu kosong. Sila pilih yang lain"
"Some of the selected item options are not currently available.","Sesetengah pilihan item yang dipilih tidak tersedia pada masa ini."
"Could not save the usageCustomer: %1","Tidak dapat menyimpan penggunaanPelanggan: %1"
"UsageCustomer with id ""%1"" does not exist.","UsageCustomer dengan id ""%1"" tidak wujud."
"Could not delete the UsageCustomer: %1","Tidak dapat memadamkan UsageCustomer: %1"
"Could not save the usage: %1","Tidak dapat menyimpan penggunaan: %1"
"Usage with id ""%1"" does not exist.","Penggunaan dengan id ""%1"" tidak wujud."
"Could not delete the Usage: %1","Tidak dapat memadamkan Penggunaan: %1"
"Unable to attach licenses to customer %s","Tidak dapat melampirkan lesen kepada %s pelanggan"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Anda tidak boleh menambah item ini ke troli anda kerana ini
                                lesen tersuai hanya boleh digunakan%1 kali"
"Max Usage","Penggunaan Maks"
"Usage Options","Pilihan Penggunaan"
Preview.,Pratonton.
"Usage options provide more details about how an image will be used.","Pilihan penggunaan memberikan butiran lanjut tentang cara imej akan digunakan."
"Add Option","Tambah Pilihan"
"New Option","Pilihan Baharu"
"Option Title","Tajuk Pilihan"
"Help Text","Teks Bantuan"
"Add Value","Nilai tambah"
Title,Tajuk
"Option Type","Jenis Pilihan"
"-- Please select --","-- Sila pilih --"
Required,Diperlukan
Price,Harga
"Price Type","Jenis Harga"
"Image Size","Saiz Imej"
Edit,Edit
"Only Custom Usages are supported","Hanya Penggunaan Tersuai disokong"
"We offer important volume <b>licensing discounts</b>.","Kami menawarkan <b>diskaun pelesenan</b> volum yang penting."
"Have questions? Call %1 and ask for custom quote.","Ada soalan? Hubungi %1 dan minta sebut harga tersuai."
"We will work with your budget.","Kami akan bekerja dengan belanjawan anda."
Availability,Ketersediaan
"In stock","Dalam stok"
"Out of stock","Kehabisan stok"
Change,Menukar
"Compatible file extensions to upload","Sambungan fail yang serasi untuk dimuat naik"
"Maximum image width","Lebar imej maksimum"
"Maximum image height","Ketinggian imej maksimum"
"less info","kurang maklumat"
"more info","Maklumat lanjut"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Imej Lesen ialah sejenis ""menyewa"" imej untuk kegunaan tertentu; Contohnya termasuk melesenkan imej untuk kulit buku, ilustrasi untuk artikel majalah, atau penggunaan imej dalam selebaran penginjilan."
"License Image","Imej Lesen"
"Download - price based on use.","Muat turun - harga berdasarkan penggunaan."
Close,Tutup
"License Pricing Calculator","Kalkulator Harga Lesen"
"Select options from the drop down menu to calculate a price to use this image.","Pilih pilihan daripada menu lungsur untuk mengira harga untuk menggunakan imej ini."
"Choose Category","Pilih Kategori"
"Choose a category to see the specific usages available.","Pilih kategori untuk melihat penggunaan tertentu yang tersedia."
"Previous Usage","Penggunaan Terdahulu"
"Choose a previous calculation from your order history.","Pilih pengiraan terdahulu daripada sejarah pesanan anda."
"Specific Usage","Penggunaan Khusus"
"Choose the usage which best describes how you intend to use the image.","Pilih penggunaan yang paling menggambarkan cara anda berhasrat untuk menggunakan imej tersebut."
"Go to <a href=""%1"">My Downloadable Products</a>","Pergi ke <a href=""%1"">Produk Boleh Muat Turun Saya</a>"
"Incl. Tax","Termasuk Cukai"
"Total Incl. Tax","Jumlah Termasuk Cukai"
"Excl. Tax","Tidak termasuk cukai"
Total,Jumlah
"Downloadable Products","Produk Boleh Dimuat Turun"
"Order #","Perintah #"
Date,Tarikh
Status,Status
"Remaining Downloads","Baki Muat Turun"
"View Order","Lihat Pesanan"
"Start Download","Mulakan Muat Turun"
"You have not purchased any downloadable products yet.","Anda belum membeli sebarang produk yang boleh dimuat turun lagi."
SKU,SKU
download,"Muat turun"
"Gift Message","Mesej Hadiah"
From:,Dari:
To:,Untuk:
Message:,Mesej:
"Product Name","Nama Produk"
Qty,Kuantiti
Subtotal,"Jumlah kecil"
"Discount Amount","Jumlah Diskaun"
"Row Total","Jumlah Baris"
"Qty Invoiced","Jumlah Diinvois"
Ordered,Dipesan
Shipped,Dihantar
Canceled,Dibatalkan
Refunded,Dikembalikan
"Add Bulk Products","Tambah Produk Pukal"
Calculator,Kalkulator
"DevStone Extensions","Sambungan DevStone"
"Usage Calculator","Kalkulator Penggunaan"
General,Umum
"Custom Category","Kategori Tersuai"
"select the custom category","Pilih kategori tersuai"
"This field is going to be used for Custom License","Medan ini akan digunakan untuk Lesen Tersuai"
"Category Form","Borang Kategori"
"Main Information","Maklumat utama"
"Add New Category","Tambah Kategori Baru"
"Delete items","Padamkan item"
"Are you sure you wan't to delete selected items?","Adakah anda pasti anda tidak mahu memadamkan item yang dipilih?"
Terms,Terma
"Size Form","Borang Saiz"
Active,Aktif
Inactive,"Tidak aktif"
"Add New Size","Tambah Saiz Baru"
Code,Kod
"Max Width","Lebar Maks"
"Max Height","Ketinggian Maks"
"Usage Form","Borang Penggunaan"
"Can be free","Boleh percuma"
No,Tidak
Yes,Ya
"Add future customer email","Tambah e-mel pelanggan masa depan"
"Add Email","Tambah E-mel"
"Add New Usage","Tambah Penggunaan Baru"
