Back,뒤로
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","이미지 라이선스는 특정 용도로 이미지를 ""대여""하는 유형으로, 책 표지, 잡지 기사 삽화, 전도지 이미지 사용 등의 용도로 이미지를 라이선스하는 것을 예로 들 수 있습니다."
"License Image","라이선스 이미지"
"Download - price based on use.","다운로드 - 사용량에 따른 가격입니다."
Close,닫기
"License Pricing Calculator","라이선스 가격 계산기"
"Select options from the drop down menu to calculate a price to use this image.","드롭다운 메뉴에서 옵션을 선택하여 이 이미지를 사용할 가격을 계산합니다."
"Choose Category","카테고리 선택"
"Choose a category to see the specific usages available.","카테고리를 선택하면 사용 가능한 구체적인 사용법을 확인할 수 있습니다."
"Previous Usage","이전 사용"
"Choose a previous calculation from your order history.","주문 내역에서 이전 계산을 선택합니다."
"Specific Usage","구체적인 사용법"
"Choose the usage which best describes how you intend to use the image.","이미지 사용 방법을 가장 잘 설명하는 사용법을 선택합니다."
"Go to <a href=""%1"">My Downloadable Products</a>","<a href=""%1"">내 다운로드 가능한 제품으로</a> 이동"
"Incl. Tax","세금 포함"
"Total Incl. Tax","세금 포함 총액"
"Excl. Tax","세금 별도"
Total,합계
"Downloadable Products","다운로드 가능한 제품"
"Order #","주문 번호"
Date,날짜
Status,상태
"Remaining Downloads","남은 다운로드"
"View Order","주문 보기"
"Start Download","다운로드 시작"
"You have not purchased any downloadable products yet.","아직 다운로드 가능한 제품을 구매하지 않았습니다."
SKU,SKU
download,다운로드
"Gift Message","선물 메시지"
From:,에서:
To:,To:
Message:,메시지:
"Product Name","제품 이름"
Qty,수량
Subtotal,소계
"Discount Amount","할인 금액"
"Row Total","행 합계"
"Qty Invoiced","청구된 수량"
Ordered,주문됨
Shipped,배송됨
Canceled,취소됨
Refunded,환불
Calculator,계산기
"DevStone Extensions","DevStone 확장 기능"
"Usage Calculator","사용량 계산기"
General,일반
"Custom Category","사용자 지정 카테고리"
"select the custom category","사용자 지정 카테고리를 선택합니다"
"This field is going to be used for Custom License","이 필드는 사용자 지정 라이선스에 사용됩니다"
"Category Form","카테고리 양식"
"Main Information","주요 정보"
"Add New Category","새 카테고리 추가"
"Delete items","항목 삭제"
"Are you sure you wan't to delete selected items?","선택한 항목을 삭제하지 않으시겠습니까?"
Terms,약관
"Size Form","크기 양식"
Active,활성
Inactive,비활성
"Add New Size","새 크기 추가"
Code,코드
"Max Width","최대 너비"
"Max Height","최대 높이"
"Usage Form","사용 양식"
"Can be free","무료일 수 있습니다"
No,아니요
Yes,예
"Add future customer email","향후 고객 이메일 추가"
"Add Email","이메일 추가"
"Add New Usage","새 사용법 추가"
