Back,Vissza
"Could not delete the Usage: %1","Nem sikerült törölni a Használatot: %1"
"Unable to attach licenses to customer %s","Nem sikerült licenceket csatolni az ügyfélhez %s"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Ezt a terméket nem tudja a kosárba helyezni, mert ez a termék
                                egyéni licenc csak %1 alkalommal használható(k)"
"Max Usage","Maximális használat"
"Usage Options","Használati lehetőségek"
Preview.,Előzetes.
"Usage options provide more details about how an image will be used.","A felhasználási beállítások további részleteket adnak meg a kép felhasználásának módjáról."
"Add Option","Opció hozzáadása"
"New Option","Új opció"
"Option Title","Opció címe"
"Help Text","Segítség szövege"
"Add Value",Értékteremtés
Title,Cím
"Option Type","Opció típusa"
"-- Please select --","-- Kérjük, válasszon --"
Required,Kötelező
Price,Ár
"Price Type","Ár típus"
"Image Size",Képméret
Edit,Szerkesztés
"Only Custom Usages are supported","Csak az egyéni felhasználások támogatottak"
"We offer important volume <b>licensing discounts</b>.","Jelentős mennyiségi <b>licencelési kedvezményeket</b> kínálunk."
"Have questions? Call %1 and ask for custom quote.","Kérdése van? Hívja a %1-et, és kérjen egyedi árajánlatot."
"We will work with your budget.","Az Ön költségvetésével dolgozunk."
Availability,Elérhetőség
"In stock",Készleten
"Out of stock","Nincs készleten"
Change,Változás
"Compatible file extensions to upload","Kompatibilis fájlkiterjesztések feltöltéséhez"
"Maximum image width","Maximális képszélesség"
"Maximum image height","Maximális képmagasság"
"less info","kevesebb információ"
"more info","további infók"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","A licenckép egyfajta ""bérlése"" egy képnek egy adott felhasználásra; példaként említhetjük egy kép licencelését egy könyv borítójához, egy magazincikk illusztrációjához, vagy egy kép használatát egy evangelizációs kéziratban."
"License Image","Licenc kép"
"Download - price based on use.","Letöltés - az ár a használat alapján."
Close,"Zárja be a"
"License Pricing Calculator","Licenc árkalkulátor"
"Select options from the drop down menu to calculate a price to use this image.","Válassza ki a legördülő menüből az opciókat, hogy kiszámítsa a kép használatának árát."
"Choose Category","Válasszon kategóriát"
"Choose a category to see the specific usages available.","Válasszon ki egy kategóriát a rendelkezésre álló konkrét felhasználási módok megtekintéséhez."
"Previous Usage","Előző használat"
"Choose a previous calculation from your order history.","Válasszon egy korábbi számítást a rendelési előzmények közül."
"Specific Usage","Speciális felhasználás"
"Choose the usage which best describes how you intend to use the image.","Válassza ki azt a felhasználási módot, amelyik a legjobban leírja, hogyan kívánja használni a képet."
"Go to <a href=""%1"">My Downloadable Products</a>","Menjen a <a href=""%1"">Letölthető termékeimhez</a>"
"Incl. Tax","Adóval együtt"
"Total Incl. Tax","Összesen adóval együtt"
"Excl. Tax","Adó nélkül"
Total,Összesen
"Downloadable Products","Letölthető termékek"
"Order #","Megrendelés #"
Date,Dátum
Status,Állapot
"Remaining Downloads","Maradék letöltések"
"View Order","Rendelés megtekintése"
"Start Download","Letöltés indítása"
"You have not purchased any downloadable products yet.","Ön még nem vásárolt letölthető terméket."
SKU,SKU
download,letöltés
"Gift Message","Ajándék üzenet"
From:,From:
To:,To:
Message:,Üzenet:
"Product Name","Termék neve"
Qty,Mennyiség
Subtotal,Részösszeg
"Discount Amount","Kedvezmény összege"
"Row Total","Sor Összesen"
"Qty Invoiced","Számlázott mennyiség"
Ordered,Megrendelt
Shipped,Elküldve
Canceled,Törölt
Refunded,Visszatérített
"Add Bulk Products","Tömeges termékek hozzáadása"
Calculator,Számológép
"DevStone Extensions","DevStone bővítmények"
"Usage Calculator","Felhasználási kalkulátor"
General,Általános
"Custom Category","Egyéni kategória"
"select the custom category","válassza ki az egyéni kategóriát"
"This field is going to be used for Custom License","Ezt a mezőt az Egyéni licenchez kell használni"
"Category Form","Kategória űrlap"
"Main Information","Fő információk"
"Add New Category","Új kategória hozzáadása"
"Delete items","Elemek törlése"
"Are you sure you wan't to delete selected items?","Biztos, hogy nem akarja törölni a kiválasztott elemeket?"
Terms,Feltételek
"Size Form","Méret Form"
Active,Aktív
Inactive,Inaktív
"Add New Size","Új méret hozzáadása"
Code,Kód
"Max Width","Maximális szélesség"
"Max Height","Maximális magasság"
"Usage Form","Felhasználási űrlap"
"Can be free","Szabad lehet"
No,Nem
Yes,Igen
"Add future customer email","Jövőbeli ügyfél e-mail hozzáadása"
"Add Email","E-mail hozzáadása"
"Add New Usage","Új felhasználás hozzáadása"
