Back,Zpět
"Have questions? Call %1 and ask for custom quote.","Máte dotazy? Zavolejte %1 a požádejte o individuální nabídku."
"We will work with your budget.","Budeme pracovat s vaším rozpočtem."
Availability,Dostupnost
"In stock",Skladem
"Out of stock","Není skladem"
Change,Změna
"Compatible file extensions to upload","Kompatibilní přípony souborů pro nahrávání"
"Maximum image width","Maximální šířka obrazu"
"Maximum image height","Maximální výška obrazu"
"less info","méně informací"
"more info","více informací"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Licenční obrázek je druh ""pronájmu"" obrázku pro konkrétní použití; příkladem může být licencování obrázku pro obálku knihy, ilustrace pro článek v časopise nebo použití obrázku v evangelizačním letáku."
"License Image","Licence Image"
"Download - price based on use.","Ke stažení - cena podle použití."
Close,Zavřít
"License Pricing Calculator","Kalkulačka cen licencí"
"Select options from the drop down menu to calculate a price to use this image.","Výběrem možností z rozevírací nabídky vypočtete cenu za použití tohoto obrázku."
"Choose Category","Vyberte kategorii"
"Choose a category to see the specific usages available.","Výběrem kategorie zobrazíte konkrétní dostupná použití."
"Previous Usage","Předchozí použití"
"Choose a previous calculation from your order history.","Vyberte předchozí výpočet z historie objednávek."
"Specific Usage","Specifické použití"
"Choose the usage which best describes how you intend to use the image.","Vyberte způsob použití, který nejlépe vystihuje, jak hodláte obrázek použít."
"Go to <a href=""%1"">My Downloadable Products</a>","Přejít na <a href=""%1"">Moje produkty ke stažení</a>"
"Incl. Tax","Včetně daně"
"Total Incl. Tax","Celkem včetně daně"
"Excl. Tax","Bez daně"
Total,Celkem
"Downloadable Products","Produkty ke stažení"
"Order #","Objednávka #"
Date,Datum
Status,Stav
"Remaining Downloads","Zbývající soubory ke stažení"
"View Order","Zobrazit objednávku"
"Start Download","Začít stahovat"
"You have not purchased any downloadable products yet.","Zatím jste si nezakoupili žádné produkty ke stažení."
SKU,SKU
download,"ke stažení"
"Gift Message","Dárková zpráva"
From:,Od:
To:,Pro:
Message:,Zpráva:
"Product Name","Název produktu"
Qty,Množství
Subtotal,Mezisoučet
"Discount Amount","Výše slevy"
"Row Total","Řádek Celkem"
"Qty Invoiced","Fakturované množství"
Ordered,Objednáno
Shipped,Odesláno
Canceled,Zrušeno
Refunded,"Vrácené prostředky"
"Add Bulk Products","Přidání hromadných produktů"
Calculator,Kalkulačka
"DevStone Extensions","Rozšíření DevStone"
"Usage Calculator","Kalkulačka používání"
General,Obecné
"Custom Category","Vlastní kategorie"
"select the custom category","vyberte vlastní kategorii"
"This field is going to be used for Custom License","Toto pole bude použito pro vlastní licenci"
"Category Form","Formulář kategorie"
"Main Information","Hlavní informace"
"Add New Category","Přidat novou kategorii"
"Delete items","Odstranění položek"
"Are you sure you wan't to delete selected items?","Jste si jisti, že nechcete odstranit vybrané položky?"
Terms,Podmínky
"Size Form","Formulář velikosti"
Active,Aktivní
Inactive,Neaktivní
"Add New Size","Přidat novou velikost"
Code,Kód
"Max Width","Maximální šířka"
"Max Height","Maximální výška"
"Usage Form","Formulář pro použití"
"Can be free","Může být zdarma"
No,Ne
Yes,Ano
"Add future customer email","Přidání e-mailu budoucího zákazníka"
"Add Email","Přidat e-mail"
"Add New Usage","Přidání nového použití"
