Back,バック
"File '%1' is not an image.","ファイル '%1' は画像ではありません。"
"Validation failed. Required options were not filled or the file was not uploaded.",検証に失敗しました。必須オプションが入力されていないか、ファイルがアップロードされていません。
"The file you uploaded is larger than %1 Megabytes allowed by server","アップロードされたファイルは、サーバーで許可されている %1 MB よりも大きいです。"
"Option required.",オプションが必要。
"The file is empty. Please choose another one",ファイルは空です。他のファイルを選択してください。
"Some of the selected item options are not currently available.",選択されたアイテムのオプションの一部は、現在ご利用いただけません。
"Could not save the usageCustomer: %1","usageCustomer: %1 を保存できませんでした。"
"UsageCustomer with id ""%1"" does not exist.","使用法ID ""%1"" を持つ顧客が存在しません。"
"Could not delete the UsageCustomer: %1","UsageCustomer: %1 を削除できませんでした。"
"Could not save the usage: %1",使用法を保存できませんでした：%1
"Usage with id ""%1"" does not exist.","id ""%1"" を持つ使用法は存在しません。"
"Could not delete the Usage: %1",使用法を削除できませんでした：%1
"Unable to attach licenses to customer %s","顧客 %s にライセンスをアタッチできません。"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","この商品をカートに入れることはできません。
                                カスタムライセンスは %1 回しか使用できません。"
"Max Usage",最大使用量
"Usage Options",使用オプション
Preview.,プレビュー
"Usage options provide more details about how an image will be used.",使用オプションは、画像がどのように使用されるかについての詳細を提供します。
"Add Option",オプション追加
"New Option",新オプション
"Option Title",オプションタイトル
"Help Text",ヘルプテキスト
"Add Value",付加価値
Title,タイトル
"Option Type",オプション・タイプ
"-- Please select --","-- 選択してください"
Required,必須
Price,価格
"Price Type",価格タイプ
"Image Size",画像サイズ
Edit,編集
"Only Custom Usages are supported",カスタム使用法のみサポート
"We offer important volume <b>licensing discounts</b>.",当社は、重要なボリューム<b>ライセンス割引を</b>提供しています。
"Have questions? Call %1 and ask for custom quote.",ご質問がありますか？1までお電話ください。
"We will work with your budget.",ご予算に応じて対応いたします。
Availability,空室状況
"In stock",在庫あり
"Out of stock",在庫切れ
Change,変更
"Compatible file extensions to upload",アップロード可能なファイル拡張子
"Maximum image width",最大画像幅
"Maximum image height",最大画像の高さ
"less info",詳細はこちら
"more info",詳細情報
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.",ライセンスイメージとは、特定の用途のために画像を「レンタル」することです。例えば、書籍の表紙に使用する画像のライセンス、雑誌記事の挿絵のライセンス、伝道用ハンドビラに画像を使用するライセンスなどがあります。
"License Image",ライセンス画像
"Download - price based on use.","ダウンロード - 使用量に応じた価格。"
Close,閉じる
"License Pricing Calculator",ライセンス価格計算機
"Select options from the drop down menu to calculate a price to use this image.",ドロップダウンメニューからオプションを選択し、この画像を使用するための価格を計算します。
"Choose Category",カテゴリーを選択
"Choose a category to see the specific usages available.",カテゴリーを選択すると、具体的な使用方法が表示されます。
"Previous Usage",以前の使用
"Choose a previous calculation from your order history.",注文履歴から過去の計算を選択します。
"Specific Usage",具体的な使用方法
"Choose the usage which best describes how you intend to use the image.",画像をどのように使用するか、最も適切な使い方を選んでください。
"Go to <a href=""%1"">My Downloadable Products</a>","<a href=""%1"">ダウンロード商品へ</a>"
"Incl. Tax",税込み
"Total Incl. Tax",税込み合計
"Excl. Tax",税抜
Total,合計
"Downloadable Products",ダウンロード製品
"Order #",注文番号
Date,日付
Status,ステータス
"Remaining Downloads",残りのダウンロード数
"View Order",注文を見る
"Start Download",ダウンロード開始
"You have not purchased any downloadable products yet.",まだダウンロード製品を購入していません。
SKU,SKU
download,ダウンロード
"Gift Message",ギフトメッセージ
From:,からだ：
To:,へ：
Message:,メッセージ
"Product Name",製品名
Qty,数量
Subtotal,小計
"Discount Amount",割引額
"Row Total","行 合計"
"Qty Invoiced",請求数量
Ordered,注文済み
Shipped,出荷済み
Canceled,キャンセル
Refunded,払い戻し
"Add Bulk Products",バルク製品の追加
Calculator,電卓
"DevStone Extensions",DevStoneエクステンション
"Usage Calculator",利用計算機
General,一般
"Custom Category",カスタム・カテゴリー
"select the custom category",カスタムカテゴリーを選択する
"This field is going to be used for Custom License",このフィールドはカスタムライセンスに使用されます。
"Category Form",カテゴリー
"Main Information",主要情報
"Add New Category",新しいカテゴリーの追加
"Delete items",アイテムの削除
"Are you sure you wan't to delete selected items?",本当に選択した項目を削除したいのですか？
Terms,条件
"Size Form",サイズフォーム
Active,アクティブ
Inactive,活動休止中
"Add New Size",新しいサイズを追加
Code,コード
"Max Width",最大幅
"Max Height",最大高さ
"Usage Form",利用フォーム
"Can be free",自由にできる
No,いいえ
Yes,はい
"Add future customer email",将来の顧客Eメールを追加
"Add Email",電子メールの追加
"Add New Usage",新しい使用法の追加
