Back,Kembali
"The file '%1' is invalid. Please choose another one","File '%1' tidak valid. Silakan pilih yang lain"
"File '%1' is not an image.","File '%1' bukanlah sebuah gambar."
"Validation failed. Required options were not filled or the file was not uploaded.","Validasi gagal. Opsi yang diperlukan tidak diisi atau file tidak diunggah."
"The file you uploaded is larger than %1 Megabytes allowed by server","File yang Anda unggah lebih besar dari %1 Megabyte yang diizinkan oleh server"
"Option required.","Diperlukan opsi."
"The file is empty. Please choose another one","Berkasnya kosong. Silakan pilih yang lain"
"Some of the selected item options are not currently available.","Beberapa opsi item yang dipilih saat ini tidak tersedia."
"Could not save the usageCustomer: %1","Tidak dapat menyimpan penggunaanPelanggan: %1"
"UsageCustomer with id ""%1"" does not exist.","UsageCustomer dengan id ""%1"" tidak ada."
"Could not delete the UsageCustomer: %1","Tidak dapat menghapus PenggunaanPelanggan: %1"
"Could not save the usage: %1","Tidak dapat menyimpan penggunaan: %1"
"Usage with id ""%1"" does not exist.","Penggunaan dengan id ""%1"" tidak ada."
"Could not delete the Usage: %1","Tidak dapat menghapus Penggunaan: %1"
"Unable to attach licenses to customer %s","Tidak dapat melampirkan lisensi ke pelanggan %s"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Anda tidak dapat menambahkan item ini ke keranjang Anda karena ini
                                lisensi khusus ini hanya dapat digunakan %1 kali"
"Max Usage","Penggunaan Maksimal"
"Usage Options","Opsi Penggunaan"
Preview.,Pratinjau.
"Usage options provide more details about how an image will be used.","Opsi penggunaan memberikan rincian lebih lanjut mengenai bagaimana gambar akan digunakan."
"Add Option","Tambahkan Opsi"
"New Option","Opsi Baru"
"Option Title","Judul Opsi"
"Help Text","Teks Bantuan"
"Add Value","Nilai Tambah"
Title,Judul
"Option Type","Jenis Opsi"
"-- Please select --","-- Silakan pilih -"
Required,Diperlukan
Price,Harga
"Price Type","Jenis Harga"
"Image Size","Ukuran Gambar"
Edit,Sunting
"Only Custom Usages are supported","Hanya Penggunaan Khusus yang didukung"
"We offer important volume <b>licensing discounts</b>.","Kami menawarkan <b>diskon lisensi</b> volume yang penting."
"Have questions? Call %1 and ask for custom quote.","Ada pertanyaan? Hubungi %1 dan minta penawaran khusus."
"We will work with your budget.","Kami akan bekerja dengan anggaran Anda."
Availability,Ketersediaan
"In stock","Dalam stok"
"Out of stock","Kehabisan stok"
Change,Perubahan
"Compatible file extensions to upload","Ekstensi file yang kompatibel untuk diunggah"
"Maximum image width","Lebar gambar maksimum"
"Maximum image height","Tinggi gambar maksimum"
"less info","kurang info"
"more info","info lebih lanjut"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Lisensi Gambar adalah jenis ""penyewaan"" gambar untuk penggunaan tertentu; contohnya termasuk melisensikan gambar untuk sampul buku, ilustrasi untuk artikel majalah, atau penggunaan gambar dalam selebaran penginjilan."
"License Image","Gambar Lisensi"
"Download - price based on use.","Unduh - harga berdasarkan penggunaan."
Close,Tutup
"License Pricing Calculator","Kalkulator Harga Lisensi"
"Select options from the drop down menu to calculate a price to use this image.","Pilih opsi dari menu tarik-turun untuk menghitung harga untuk menggunakan gambar ini."
"Choose Category","Pilih Kategori"
"Choose a category to see the specific usages available.","Pilih kategori untuk melihat penggunaan spesifik yang tersedia."
"Previous Usage","Penggunaan sebelumnya"
"Choose a previous calculation from your order history.","Pilih kalkulasi sebelumnya dari riwayat pesanan Anda."
"Specific Usage","Penggunaan Khusus"
"Choose the usage which best describes how you intend to use the image.","Pilih penggunaan yang paling menggambarkan bagaimana Anda bermaksud menggunakan gambar tersebut."
"Go to <a href=""%1"">My Downloadable Products</a>","Pergi ke <a href=""%1"">Produk Unduhan Saya</a>"
"Incl. Tax","Termasuk Pajak"
"Total Incl. Tax","Total Termasuk Pajak"
"Excl. Tax","Tidak termasuk pajak"
Total,Total
"Downloadable Products","Produk yang Dapat Diunduh"
"Order #","Pesanan #"
Date,Tanggal
Status,Status
"Remaining Downloads","Unduhan yang tersisa"
"View Order","Lihat Pesanan"
"Start Download","Mulai Unduh"
"You have not purchased any downloadable products yet.","Anda belum membeli produk yang dapat diunduh."
SKU,SKU
download,unduh
"Gift Message","Pesan Hadiah"
From:,Dari:
To:,Untuk:
Message:,Pesan:
"Product Name","Nama Produk"
Qty,Jumlah
Subtotal,Subtotal
"Discount Amount","Jumlah Diskon"
"Row Total","Total Baris"
"Qty Invoiced","Jumlah Faktur"
Ordered,Memesan
Shipped,Dikirim
Canceled,Dibatalkan
Refunded,Dikembalikan
"Add Bulk Products","Tambahkan Produk Massal"
Calculator,Kalkulator
"DevStone Extensions","Ekstensi DevStone"
"Usage Calculator","Kalkulator Penggunaan"
General,Umum
"Custom Category","Kategori Khusus"
"select the custom category","pilih kategori khusus"
"This field is going to be used for Custom License","Bidang ini akan digunakan untuk Lisensi Khusus"
"Category Form","Formulir Kategori"
"Main Information","Informasi Utama"
"Add New Category","Tambahkan Kategori Baru"
"Delete items","Menghapus item"
"Are you sure you wan't to delete selected items?","Apakah Anda yakin tidak ingin menghapus item yang dipilih?"
Terms,Ketentuan
"Size Form","Formulir Ukuran"
Active,Aktif
Inactive,"Tidak aktif"
"Add New Size","Tambahkan Ukuran Baru"
Code,Kode
"Max Width","Lebar Maks"
"Max Height","Tinggi Maks"
"Usage Form","Formulir Penggunaan"
"Can be free","Bisa gratis"
No,Tidak
Yes,Ya
"Add future customer email","Tambahkan email pelanggan di masa mendatang"
"Add Email","Tambahkan Email"
"Add New Usage","Tambahkan Penggunaan Baru"
